Ngày đăng,Năm SX,Xuất xứ,Địa điểm,Kiểu dáng,Số km đã đi,Hộp số,Tình trạng,Nhiên liệu,Giá
2025-10-14,1.1468740377165834,Thái Lan,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",SUV / Cross over,-0.7616423403770315,Tự động,Đã sử dụng,Dầu,1.7129541896989091
2025-10-14,0.9544623496620608,Đang cập nhật,", Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",SUV / Cross over,-0.40600252791140623,Tự động,Đã sử dụng,Xăng,0.41601596380554023
2025-10-14,0.5696389735530156,Thái Lan,"Phường Gia Thụy, Quận Long Biên, Hà Nội",Hatchback,-0.13927266856218729,Tự động,Đã sử dụng,Xăng,-0.3235603798857196
2025-10-14,0.7620506616075382,Việt Nam,"Đường Nguyễn Xiển, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Sedan,-0.13927266856218729,Tự động,Đã sử dụng,Xăng,-0.38787136629365526
2025-10-14,0.37722728549849305,Đang cập nhật,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Sedan,-0.05036271544578098,Tự động,Đã sử dụng,Xăng,-0.2699678912124399
2025-10-14,0.37722728549849305,Việt Nam,"Phường Gia Thụy, Quận Long Biên, Hà Nội",SUV / Cross over,-0.05036271544578098,Tự động,Đã sử dụng,Dầu,0.5339194388867556
2025-10-14,0.37722728549849305,Việt Nam,"Phường Gia Thụy, Quận Long Biên, Hà Nội",Sedan,0.09189320954046912,Tự động,Đã sử dụng,Xăng,-0.2420997971023345
2025-10-14,0.18481559744397047,Việt Nam,"Phường Kim Giang, Quận Thanh Xuân, Hà Nội",SUV / Cross over,0.10967520016375039,Tự động,Đã sử dụng,Xăng,-0.30212338441640774
2025-10-14,1.1468740377165834,Hàn Quốc,"Phường Gia Thụy, Quận Long Biên, Hà Nội",SUV / Cross over,-0.9963646166043441,Tự động,Đã sử dụng,Xăng,0.48890174840120065
2025-10-14,-2.1241246592103007,Đức,"Phường Gia Thụy, Quận Long Biên, Hà Nội",Sedan,-0.8977634785982496,Tự động,Đã sử dụng,Xăng,-0.03201724150307806
2025-10-14,0.7620506616075382,Nước khác,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",SUV / Cross over,-0.01479873419921845,Số sàn,Đã sử dụng,Xăng,-0.5272118368441825
2025-10-14,-0.39241946671959727,Việt Nam,"Phường Trung Hưng, Thị xã Sơn Tây, Hà Nội",SUV / Cross over,0.6609169094854696,Tự động,Đã sử dụng,Xăng,-0.6022413209867741
2025-10-14,0.5696389735530156,Nước khác,"Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Hatchback,-0.3170925747949999,Tự động,Đã sử dụng,Xăng,-0.623678316456086
2025-10-14,0.18481559744397047,Thái Lan,"Phường Gia Thụy, Quận Long Biên, Hà Nội",SUV / Cross over,0.12745719078703163,Tự động,Đã sử dụng,Xăng,-0.11990892292725677
2025-10-14,1.1468740377165834,Nước khác,"Phường Gia Thụy, Quận Long Biên, Hà Nội",SUV / Cross over,-0.6549503966373439,Tự động,Đã sử dụng,Xăng,-0.034160941050009254
2025-10-14,-0.007596090610552121,Thái Lan,"Thị trấn Đông Anh, Huyện Đông Anh, Hà Nội",Pick-up (bán tải),1.1943766281839074,Tự động,Đã sử dụng,Dầu,-0.10919042519260083
2025-10-14,-2.508948035319346,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Minivan (MPV),1.5500164406495327,Số sàn,Đã sử dụng,Xăng,-0.977388741699732
2025-10-14,0.7620506616075382,Việt Nam,", Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Minivan (MPV),0.287495106396563,Tự động,Đã sử dụng,Dầu,1.0591258278848967
2025-10-14,-0.39241946671959727,Việt Nam,"Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Sedan,0.287495106396563,Tự động,Đã sử dụng,Xăng,-0.5379303345788384
2025-10-14,0.37722728549849305,Việt Nam,"Đường Mễ Trì, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",SUV / Cross over,2.0123481968548456,Tự động,Đã sử dụng,Dầu,0.44817145700950806
2025-10-14,0.18481559744397047,Thái Lan,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Pick-up (bán tải),0.5364251931318774,Tự động,Đã sử dụng,Dầu,-0.21851910208609143
2025-10-14,0.18481559744397047,Thái Lan,"Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Hatchback,-0.01479873419921845,Tự động,Đã sử dụng,Xăng,-0.3985898640283112
2025-10-14,-1.3544779069922102,Đang cập nhật,"Phường Dương Nội, Quận Hà Đông, Hà Nội",Unknown,2.439115971813596,Tự động,Đã sử dụng,Xăng,-0.6343968141907419
2025-10-14,0.7620506616075382,Nước khác,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Minivan (MPV),-0.01479873419921845,Tự động,Đã sử dụng,Xăng,-0.18421990933519242
